month,deposits,aver_inc,population,manprop,billboard,numofbank
4,42,5239,9451,42,1,18
1,0,5705,9984,42,1,17
5,52,4391,12065,60,1,18
3,119,6105,14481,43,1,20
2,21,5820,19937,40,1,8
6,0,5807,11208,43,1,8
1,0,8183,11546,48,1,19
6,64,6648,15849,52,1,17
2,55,6499,18317,47,1,8
4,56,7269,9602,43,1,14
5,96,5146,9801,58,1,9
1,77,7500,11584,56,1,18
2,45,5577,14621,47,1,7
4,101,4206,16877,60,1,20
1,0,7351,19367,59,1,12
5,36,7081,13393,48,1,10
4,60,4780,16337,49,1,15
3,0,6492,9926,44,1,9
3,93,7580,19770,42,1,6
3,0,6704,6867,59,1,6
6,0,4903,7765,53,1,13
6,74,5431,5184,55,1,16
4,0,6266,16483,50,1,8
5,0,6499,15631,42,1,5
5,149,5802,,55,1,12
2,77,5855,12830,48,1,14
3,0,5268,6134,41,1,15
5,142,6846,10806,58,1,10
1,0,8190,5993,53,1,12
5,48,7328,11886,56,1,17
3,0,4805,5874,60,1,10
6,123,4690,9673,40,1,19
3,48,7523,9587,60,1,16
3,89,3644,16819,48,1,12
1,0,6074,16708,47,1,19
4,89,5831,6530,54,1,7
4,0,6268,5583,46,1,9
1,71,6390,19104,47,1,16
2,0,5358,9728,48,1,5
1,42,7196,16755,59,1,8
6,0,7169,16378,42,1,13
1,0,4695,10583,49,1,13
1,0,6398,11268,47,1,6
6,50,6286,12289,41,1,15
6,0,4761,18270,57,1,5
4,42,5222,19193,54,1,8
3,136,4953,18078,45,1,15
5,71,5462,12937,54,1,7
5,100,5448,6203,40,1,12
4,39,5163,18881,50,1,18
5,58,,10214,46,1,18
1,96,4590,9460,60,1,20
4,76,6289,7128,51,1,20
5,57,4103,9850,51,1,14
6,86,7053,17741,45,1,18
6,66,6794,14786,53,1,8
6,67,4425,7954,41,1,9
3,0,5451,7731,52,1,13
5,0,3770,16245,49,1,11
1,49,4944,11245,53,1,18
4,80,5600,19110,54,1,9
5,37,7244,14681,46,1,7
5,58,7395,9667,52,1,19
6,59,6593,19803,53,1,15
6,53,6632,16023,48,1,18
6,117,8080,8668,60,1,15
4,59,4845,11927,56,1,20
3,89,5850,7433,43,1,14
2,80,7317,5614,42,1,18
1,0,7111,13713,50,1,18
4,42,5697,12828,54,1,13
5,0,5436,11420,60,1,8
4,0,7312,18154,55,1,16
1,114,6193,13742,42,1,9
4,0,6652,14719,60,1,15
3,105,6005,12018,58,1,16
2,0,6561,18973,40,1,18
2,79,4910,10280,50,1,18
6,0,6332,18924,41,1,13
4,0,5826,8550,59,1,17
3,74,6855,13535,53,1,10
5,0,6218,15822,44,1,20
4,28,6163,6164,51,1,7
2,0,4464,8228,40,1,15
6,53,6826,16858,,1,8
5,67,4943,11789,43,1,16
3,61,4932,6286,58,1,10
2,0,4491,13087,60,1,5
4,46,5598,11434,50,1,18
5,0,7609,15261,44,1,10
1,0,6090,5086,54,1,16
2,43,6892,13795,51,1,13
5,0,6328,8629,47,1,8
4,77,4984,13198,46,1,15
1,112,5858,9242,55,1,17
2,0,6758,12042,56,1,11
6,0,5431,6815,55,1,8
5,109,6089,19529,41,1,11
5,57,5744,14487,52,1,17
2,0,4685,8193,50,1,7
3,0,7213,13567,47,1,13
5,0,4631,13258,54,1,15
6,65,4871,10739,48,1,6
5,71,7424,19829,44,1,17
1,13,5513,18818,46,1,13
3,58,6281,18950,60,1,16
5,61,5186,5724,52,1,15
6,0,6573,17680,42,1,15
6,0,4908,10376,48,1,8
3,0,4742,19267,45,1,
6,0,5900,12159,47,1,5
4,0,5895,7451,53,1,15
5,82,3645,19781,51,1,7
2,0,6061,7020,58,1,8
1,0,6856,12532,45,1,17
6,0,4262,15082,48,1,11
5,0,6267,14959,52,1,8
6,48,5758,16021,43,1,7
4,66,6644,19547,44,1,20
4,39,5265,13939,47,1,7
4,53,7489,16040,55,1,18
3,0,6700,6590,47,1,17
6,0,6298,12588,57,1,12
3,39,4524,10752,42,1,9
2,69,6742,17931,58,1,15
5,60,7117,12273,42,1,13
1,68,4231,8881,40,1,8
5,0,4455,5777,59,1,19
1,0,5445,9201,48,1,16
3,97,4456,17390,44,1,16
6,61,6475,19480,43,1,20
4,74,5232,5500,49,1,9
5,74,4553,6548,54,1,16
2,78,5463,13369,55,1,18
4,58,5036,18348,53,1,9
1,35,4909,9201,46,1,9
3,76,7536,15768,46,1,8
2,50,4526,8727,49,1,20
5,31,6979,13630,43,1,19
1,0,6304,12330,55,1,5
4,69,5983,6499,54,1,7
3,0,5223,14637,43,1,18
4,62,4883,14828,51,1,11
6,63,6261,13831,52,1,11
2,52,5963,14181,40,1,12
5,84,8458,10848,45,1,15
2,74,5774,18973,60,1,14
6,0,7271,10533,44,1,9
6,37,7150,19653,44,1,7
2,38,5327,16644,60,1,16
4,0,5128,5184,57,1,19
2,104,5545,11466,40,1,5
2,0,5422,5468,51,1,12
3,39,5007,16638,41,1,7
2,40,5396,16913,43,1,7
3,0,5722,14739,58,1,20
1,0,5040,12272,59,1,15
3,0,4383,5083,44,1,13
3,0,4641,5288,44,1,5
3,0,6343,7135,43,1,6
6,0,6638,12019,49,1,18
2,28,6109,13046,49,1,16
3,86,6866,10692,43,1,16
1,70,7884,16370,54,1,16
3,90,4831,11300,47,1,12
5,51,7425,8822,53,1,8
5,83,5228,12074,42,1,5
2,0,6644,13602,54,1,16
6,87,5804,15863,49,1,8
5,101,5128,16462,59,1,6
6,85,6124,6909,46,1,8
5,0,5939,8274,41,1,9
6,0,5547,13994,41,1,14
4,0,7419,19076,55,1,10
1,50,6404,,42,1,17
2,47,6284,16515,48,1,5
6,37,6273,16588,40,1,6
1,0,5229,11415,41,1,8
2,56,5896,7015,60,1,15
3,61,7973,8713,59,1,13
1,0,7775,6649,57,1,11
2,62,5306,8665,54,1,7
3,127,4758,6329,59,1,17
4,0,5577,11421,49,1,18
3,59,3618,14828,44,1,12
3,107,7713,8725,54,1,6
4,33,3757,16505,57,1,20
6,0,6631,7687,42,1,9
1,0,5764,9096,55,1,11
